result_id,position,rider_id,rider_full_name,rider_country_iso,rider_country_name,rider_region_iso,rider_legacy_id,rider_number,riders_api_uuid,team_id,team_name,team_legacy_id,team_season_id,team_season_year,team_season_current,constructor_id,constructor_name,constructor_legacy_id,average_speed,gap_first,gap_prev,gap_lap,total_laps,top_speed,time,points,status,best_lap_number,best_lap_time,record_speed,record_year,isNewRecord,file,files,session_id,event_id,year,md5,track_condition,air_condition,humidity_condition,ground_condition,weather_condition,category_id,session_number,circuit_name,session_type,category_name,event_name,event_sponsored_name,event_season,circuit_id,circuit_legacy_id,circuit_place,circuit_nation,circuit_country_iso,circuit_country_name,circuit_country_region_iso,event_short_name,team_color,text_color,picture_url,sponsored_team,rider_team_id,rider_name,rider_surname,rider_nickname,current_career_step_season,rider_in_grid,profile_picture_url,bike_picture_url,helmet_picture_url,number_picture_url,portrait_picture_url,rider_type,country_flag_url,birth_city,birth_date,years_old,published,tr.year,_year,_event_id,_session_id
cd1e9f3d-2208-4567-a143-c466b13737a1,1,be31d4c4-f4c9-4e23-ae14-7ec35ed19f72,Izan Guevara,ES,Spain,,10033,28,28d22e58-56c2-4c94-97fc-09453bfa089f,50790ee6-af0a-4d56-a8d4-978e2cacf62f,BLU CRU Pramac Yamaha Moto2,542,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,19d30b3c-e09b-45bd-8e48-f310d371cc27,Boscoscuro,599,,0.000,0.000,,7,267.3,,,INSTND,2,01:33.910,,,,https://resources.motogp.com/files/results/2026/FRA/Moto2/Q2/Classification.pdf,,0d211ac5-9569-4f0d-96ba-6fb605f957ae,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,d095f0f4a26e8cfa245d957d7462c747,Dry,23º,47%,36º,Partly-Cloudy,549640b8-fd9c-4245-acfd-60e4bc38b25c,2,Le Mans,Q,Moto2™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#262626,#ffffff,https://photos.motogp.com/teams/d/4/d4b6a18c-5647-4667-9085-489ca4ff5649/main-picture.png,BLU CRU Pramac Yamaha Moto2,d4b6a18c-5647-4667-9085-489ca4ff5649,Izan,Guevara,,2026,1,https://photos.motogp.com/riders/2/8/28d22e58-56c2-4c94-97fc-09453bfa089f/2026/profile/main-949896.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Palma de Mallorca,2004-06-28,21,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,0d211ac5-9569-4f0d-96ba-6fb605f957ae
7efceaf3-e2c3-4e49-a7e9-e84bb2f1a18e,2,e27904a7-0e30-4d91-84f8-016d421aa89e,Daniel Holgado,ES,Spain,,8671,96,845c70b2-fe9b-40b6-a558-692cf5f9e6da,ac7f3841-7dd9-438b-9f61-dbb268a47727,CFMOTO Inde Aspar Team,555,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,40e1073c-1f6a-44c3-8320-cd6eb811ac71,Kalex,447,,0.086,0.086,,8,266.6,,,INSTND,3,01:33.996,,,,https://resources.motogp.com/files/results/2026/FRA/Moto2/Q2/Classification.pdf,,0d211ac5-9569-4f0d-96ba-6fb605f957ae,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,d14c8753b32b6bb067b317400029538a,Dry,23º,47%,36º,Partly-Cloudy,549640b8-fd9c-4245-acfd-60e4bc38b25c,2,Le Mans,Q,Moto2™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#009bb4,#ffffff,https://photos.motogp.com/teams/e/3/e3320217-761f-4bad-88d6-f5467835fefa/main-picture.png,CFMOTO Inde Aspar Team ,e3320217-761f-4bad-88d6-f5467835fefa,Daniel,Holgado,,2026,1,https://photos.motogp.com/riders/8/4/845c70b2-fe9b-40b6-a558-692cf5f9e6da/2026/profile/main-135735.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Sant Vicent del Raspeig,2005-04-27,20,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,0d211ac5-9569-4f0d-96ba-6fb605f957ae
62e9fde8-5d8a-4fdf-83a8-456421156e53,3,d4c7af32-3b73-4f8f-b3bf-f732e0aadb52,Filip Salac,CZ,Czechia,,8856,12,48af1e5c-5376-43ad-9b26-9a860bef4e1d,37404f8f-d260-46d6-8675-a54e3262b6ab,OnlyFans American Racing Team,535,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,40e1073c-1f6a-44c3-8320-cd6eb811ac71,Kalex,447,,0.110,0.024,,7,267.3,,,INSTND,7,01:34.020,,,,https://resources.motogp.com/files/results/2026/FRA/Moto2/Q2/Classification.pdf,,0d211ac5-9569-4f0d-96ba-6fb605f957ae,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,0fa955618681e9c47ca4cc07a913d3ca,Dry,23º,47%,36º,Partly-Cloudy,549640b8-fd9c-4245-acfd-60e4bc38b25c,2,Le Mans,Q,Moto2™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#0d34b2,#ffffff,https://photos.motogp.com/teams/3/0/30da094b-fd92-4cb2-80c5-04602c67004e/main-picture.png,OnlyFans American Racing Team ,30da094b-fd92-4cb2-80c5-04602c67004e,Filip,Salac,,2026,1,https://photos.motogp.com/riders/4/8/48af1e5c-5376-43ad-9b26-9a860bef4e1d/2026/profile/main-263328.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/CZ.svg,Mlada Boleslav,2001-12-12,24,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,0d211ac5-9569-4f0d-96ba-6fb605f957ae
1f8abe9a-281a-4ab9-967d-021ebf0f3944,4,5315c17f-fe2f-4478-8ad6-fac49d337c84,Barry Baltus,BE,Belgium,,10060,7,31d9d715-4dbc-4d12-8a21-f2daffb62d7f,9e6bbdbf-ce43-4235-a3ac-48ef8cf26a40,REDS Fantic Racing,532,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,40e1073c-1f6a-44c3-8320-cd6eb811ac71,Kalex,447,,0.166,0.056,,6,262.4,,,INSTND,3,01:34.076,,,,https://resources.motogp.com/files/results/2026/FRA/Moto2/Q2/Classification.pdf,,0d211ac5-9569-4f0d-96ba-6fb605f957ae,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,4d0d1423b72abac120a896404992e6aa,Dry,23º,47%,36º,Partly-Cloudy,549640b8-fd9c-4245-acfd-60e4bc38b25c,2,Le Mans,Q,Moto2™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#a5052f,#ffffff,https://photos.motogp.com/teams/1/8/187e0f58-020e-490f-b45d-575e2d6a6ef2/main-picture.png,REDS Fantic Racing,187e0f58-020e-490f-b45d-575e2d6a6ef2,Barry,Baltus,,2026,1,https://photos.motogp.com/riders/3/1/31d9d715-4dbc-4d12-8a21-f2daffb62d7f/2026/profile/main-948441.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/BE.svg,Namur,2004-05-03,21,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,0d211ac5-9569-4f0d-96ba-6fb605f957ae
c1b2dcfa-7347-40b2-9949-3e35949e0bfa,5,9a6bd0ef-1531-4efa-9806-4b6435e75ba4,Manuel Gonzalez,ES,Spain,,8250,18,96edcb06-aa78-4976-9559-62186821e48e,9a0687bf-6807-4d93-9b35-2d0671abe66f,LIQUI MOLY Dynavolt Intact GP,540,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,40e1073c-1f6a-44c3-8320-cd6eb811ac71,Kalex,447,,0.166,0.000,,8,267.3,,,INSTND,8,01:34.076,,,,https://resources.motogp.com/files/results/2026/FRA/Moto2/Q2/Classification.pdf,,0d211ac5-9569-4f0d-96ba-6fb605f957ae,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,234f21820863cd217efdaab7574a3f2f,Dry,23º,47%,36º,Partly-Cloudy,549640b8-fd9c-4245-acfd-60e4bc38b25c,2,Le Mans,Q,Moto2™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#262626,#ffffff,https://photos.motogp.com/teams/5/7/57dc8016-70b3-4eea-bec1-7f8f6cdf8609/main-picture.png,Liqui Moly Dynavolt Intact GP,57dc8016-70b3-4eea-bec1-7f8f6cdf8609,Manuel,Gonzalez,,2026,1,https://photos.motogp.com/riders/9/6/96edcb06-aa78-4976-9559-62186821e48e/2026/profile/main-470274.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Madrid,2002-08-04,23,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,0d211ac5-9569-4f0d-96ba-6fb605f957ae
c5f64651-5b44-4465-a840-379eaaffca1a,6,d6920eaa-0923-4590-b7b9-61740535a33b,Joe Roberts,US,United States of America,,7946,16,3157c88e-bd94-4851-9fe2-1d7458f65a1e,9796b5b2-082d-429f-9932-5d7ad42fb37d,OnlyFans American Racing Team,538,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,40e1073c-1f6a-44c3-8320-cd6eb811ac71,Kalex,447,,0.180,0.014,,6,262.4,,,INSTND,5,01:34.090,,,,https://resources.motogp.com/files/results/2026/FRA/Moto2/Q2/Classification.pdf,,0d211ac5-9569-4f0d-96ba-6fb605f957ae,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,a4d192211dfe54b9e6581b470f7fa973,Dry,23º,47%,36º,Partly-Cloudy,549640b8-fd9c-4245-acfd-60e4bc38b25c,2,Le Mans,Q,Moto2™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#0d34b2,#ffffff,https://photos.motogp.com/teams/3/0/30da094b-fd92-4cb2-80c5-04602c67004e/main-picture.png,OnlyFans American Racing Team,30da094b-fd92-4cb2-80c5-04602c67004e,Joe,Roberts,,2026,1,https://photos.motogp.com/riders/3/1/3157c88e-bd94-4851-9fe2-1d7458f65a1e/2026/profile/main-594513.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/US.svg,Malibu,1997-06-16,28,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,0d211ac5-9569-4f0d-96ba-6fb605f957ae
5661c7f8-5109-4ab3-956d-deb091050b4d,7,f9d74cc7-4747-4956-881b-b79ce1edb6f5,David Alonso,CO,Colombia,,10227,80,96d9b2b4-a26b-427f-b76a-6e1294c341c0,d4036ad1-4f26-415e-b45d-ae20a018ff34,CFMOTO Inde Aspar Team,551,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,40e1073c-1f6a-44c3-8320-cd6eb811ac71,Kalex,447,,0.229,0.049,,8,271.7,,,INSTND,3,01:34.139,,,,https://resources.motogp.com/files/results/2026/FRA/Moto2/Q2/Classification.pdf,,0d211ac5-9569-4f0d-96ba-6fb605f957ae,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,15e8748cdff59a33b67ab53391001785,Dry,23º,47%,36º,Partly-Cloudy,549640b8-fd9c-4245-acfd-60e4bc38b25c,2,Le Mans,Q,Moto2™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#009bb4,#ffffff,https://photos.motogp.com/teams/e/3/e3320217-761f-4bad-88d6-f5467835fefa/main-picture.png,CFMOTO Inde Aspar Team ,e3320217-761f-4bad-88d6-f5467835fefa,David,Alonso,,2026,1,https://photos.motogp.com/riders/9/6/96d9b2b4-a26b-427f-b76a-6e1294c341c0/2026/profile/main-403277.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/CO.svg,Madrid,2006-04-25,19,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,0d211ac5-9569-4f0d-96ba-6fb605f957ae
07b48719-4f26-4723-9e8f-9609d3b6a7a3,8,021761c5-a8a4-4749-8603-479ce2984722,Alonso Lopez,ES,Spain,,8866,21,88ec0ae1-53e4-48d4-8c60-6b74210d7552,07c7c64a-d1d4-4784-99e4-380e6e39c0cb,ITALJET Gresini Moto2,541,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,40e1073c-1f6a-44c3-8320-cd6eb811ac71,Kalex,447,,0.235,0.006,,8,265.9,,,INSTND,6,01:34.145,,,,https://resources.motogp.com/files/results/2026/FRA/Moto2/Q2/Classification.pdf,,0d211ac5-9569-4f0d-96ba-6fb605f957ae,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,d7b5848379041d9631edfc938e086ad7,Dry,23º,47%,36º,Partly-Cloudy,549640b8-fd9c-4245-acfd-60e4bc38b25c,2,Le Mans,Q,Moto2™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#9baee4,#262626,https://photos.motogp.com/teams/5/1/5119ab4e-9d4c-4ecb-b18a-d377cf518506/main-picture.png,ITALJET Gresini Moto2,5119ab4e-9d4c-4ecb-b18a-d377cf518506,Alonso,Lopez,,2026,1,https://photos.motogp.com/riders/8/8/88ec0ae1-53e4-48d4-8c60-6b74210d7552/2026/profile/main-742996.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Madrid,2001-12-21,24,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,0d211ac5-9569-4f0d-96ba-6fb605f957ae
04e467df-fd68-4c09-994b-8f34051b7531,9,67e88ff7-6a0c-404c-ae79-7d9fdfdef986,Celestino Vietti,IT,Italy,,10132,13,dd56704e-b40e-4202-8af2-a81b7fd6a82d,7a201515-2a52-4d40-aa95-09ea0d9fa456,Folladore SpeedRS Team,536,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,19d30b3c-e09b-45bd-8e48-f310d371cc27,Boscoscuro,599,,0.236,0.001,,8,267.3,,,INSTND,6,01:34.146,,,,https://resources.motogp.com/files/results/2026/FRA/Moto2/Q2/Classification.pdf,,0d211ac5-9569-4f0d-96ba-6fb605f957ae,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,99bf8e6521384b5e7c3d759b91965480,Dry,23º,47%,36º,Partly-Cloudy,549640b8-fd9c-4245-acfd-60e4bc38b25c,2,Le Mans,Q,Moto2™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#f08019,#ffffff,https://photos.motogp.com/teams/1/0/1030dc7b-7fae-4369-946b-1a1b1edd49e7/main-picture.png,SYNC Group SpeedRS Team,1030dc7b-7fae-4369-946b-1a1b1edd49e7,Celestino,Vietti,CV13,2026,1,https://photos.motogp.com/riders/d/d/dd56704e-b40e-4202-8af2-a81b7fd6a82d/2026/profile/main-370372.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/IT.svg,Cirie,2001-10-13,24,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,0d211ac5-9569-4f0d-96ba-6fb605f957ae
1d35a8e8-4f05-4192-8374-4f02adb6ad0a,10,642ca2e1-3962-45ba-8745-fd7c8b140462,Collin Veijer,NL,Netherlands,,10228,95,08783adb-15e8-49e4-a6ea-c3ede3d94e7c,6a01bfa3-094b-4269-a52a-9b1b5151a014,Red Bull KTM Ajo,583,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,40e1073c-1f6a-44c3-8320-cd6eb811ac71,Kalex,447,,0.261,0.025,,8,265.2,,,INSTND,7,01:34.171,,,,https://resources.motogp.com/files/results/2026/FRA/Moto2/Q2/Classification.pdf,,0d211ac5-9569-4f0d-96ba-6fb605f957ae,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,25b8eb34d88957be6a145bd29b8f9149,Dry,23º,47%,36º,Partly-Cloudy,549640b8-fd9c-4245-acfd-60e4bc38b25c,2,Le Mans,Q,Moto2™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#ff6600,#262626,https://photos.motogp.com/teams/3/c/3c73638c-cffb-4e42-a6ca-b6506ab6bf5c/main-picture.png,Red Bull KTM Ajo,3c73638c-cffb-4e42-a6ca-b6506ab6bf5c,Collin,Veijer,,2026,1,https://photos.motogp.com/riders/0/8/08783adb-15e8-49e4-a6ea-c3ede3d94e7c/2026/profile/main-14967.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/NL.svg,Meppel,2005-02-19,21,1,2026,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,0d211ac5-9569-4f0d-96ba-6fb605f957ae
