result_id,position,rider_id,rider_full_name,rider_country_iso,rider_country_name,rider_region_iso,rider_legacy_id,rider_number,riders_api_uuid,team_id,team_name,team_legacy_id,team_season_id,team_season_year,team_season_current,constructor_id,constructor_name,constructor_legacy_id,average_speed,gap_first,gap_prev,gap_lap,total_laps,top_speed,time,points,status,best_lap_number,best_lap_time,record_speed,record_year,isNewRecord,file,files,session_id,event_id,year,md5,track_condition,air_condition,humidity_condition,ground_condition,weather_condition,category_id,session_number,circuit_name,session_type,category_name,event_name,event_sponsored_name,event_season,circuit_id,circuit_legacy_id,circuit_place,circuit_nation,circuit_country_iso,circuit_country_name,circuit_country_region_iso,event_short_name,team_color,text_color,picture_url,sponsored_team,rider_team_id,rider_name,rider_surname,rider_nickname,current_career_step_season,rider_in_grid,profile_picture_url,bike_picture_url,helmet_picture_url,number_picture_url,portrait_picture_url,rider_type,country_flag_url,birth_city,birth_date,years_old,published,tr.year,_year,_event_id,_session_id
65d797e1-5df4-4522-acbe-1e5c37d22202,1,5cbd7eb6-ccfc-4b9f-aad1-ede25d394f7b,Jorge Martin,ES,Spain,,8146,89,5b9af34e-da94-4ca2-9c4c-6be0fc8b1bbc,b378e3e0-a700-478a-a6d5-3588c3f01244,Aprilia Racing,1,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,10d5e2bc-4b0b-4875-b936-3962fbb1b877,Aprilia,7,,0.000,0.000,,5,315.5,,,INSTND,5,01:31.506,,,,https://resources.motogp.com/files/results/2026/FRA/MotoGP/WUP/Classification.pdf,,47842163-0f98-4946-870b-7480565a17a9,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,d01debb70f4d365953b4d81e150d4449,Dry,15º,72%,17º,Cloudy,e8c110ad-64aa-4e8e-8a86-f2f152f6a942,,Le Mans,WUP,MotoGP™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#5f259f,#ffffff,https://photos.motogp.com/teams/1/1/11d18b37-baba-400a-80c2-f8ddf040f97e/main-picture.png,Aprilia Racing,11d18b37-baba-400a-80c2-f8ddf040f97e,Jorge,Martin,,2026.0,1.0,https://photos.motogp.com/riders/5/b/5b9af34e-da94-4ca2-9c4c-6be0fc8b1bbc/2026/profile/main-996542.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Madrid,1998-01-29,28.0,1.0,2026.0,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,47842163-0f98-4946-870b-7480565a17a9
29e53388-0ad3-40fd-9936-86bdc6d2c1e9,2,e7e4c72e-952e-4f64-8e8a-a47ff590fade,Alex Marquez,ES,Spain,,8173,73,41195f0f-9817-4a4d-913e-c1fbbb351d9b,cda5405c-c0e2-4b33-9569-3edfa0bf9f3e,BK8 Gresini Racing MotoGP,21,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,,0.017,0.017,,7,316.5,,,INSTND,6,01:31.523,,,,https://resources.motogp.com/files/results/2026/FRA/MotoGP/WUP/Classification.pdf,,47842163-0f98-4946-870b-7480565a17a9,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,8344bd0a78146e26455fd6366c30296a,Dry,15º,72%,17º,Cloudy,e8c110ad-64aa-4e8e-8a86-f2f152f6a942,,Le Mans,WUP,MotoGP™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#9baee4,#262626,https://photos.motogp.com/teams/1/1/11729e67-d2cb-41ad-b3a8-4a0ac5768a5f/main-picture.png,BK8 Gresini Racing MotoGP,11729e67-d2cb-41ad-b3a8-4a0ac5768a5f,Alex,Marquez,,2026.0,1.0,https://photos.motogp.com/riders/4/1/41195f0f-9817-4a4d-913e-c1fbbb351d9b/2026/profile/main-629834.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Cervera,1996-04-23,29.0,1.0,2026.0,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,47842163-0f98-4946-870b-7480565a17a9
46dcdfef-8a1a-4945-a2c8-6cede176ae97,3,58448742-f520-466a-a1a1-bf3286cce9c3,Raul Fernandez,ES,Spain,,8269,25,eec1f7dc-b115-44f6-82aa-73130e5c92cf,3e91443a-c102-4b9e-ac41-f9f008832abc,Trackhouse MotoGP Team,8,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,10d5e2bc-4b0b-4875-b936-3962fbb1b877,Aprilia,7,,0.194,0.177,,6,311.6,,,INSTND,5,01:31.700,,,,https://resources.motogp.com/files/results/2026/FRA/MotoGP/WUP/Classification.pdf,,47842163-0f98-4946-870b-7480565a17a9,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,6f61db86b888aab094a683f6216af9c6,Dry,15º,72%,17º,Cloudy,e8c110ad-64aa-4e8e-8a86-f2f152f6a942,,Le Mans,WUP,MotoGP™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#262626,#ffffff,https://photos.motogp.com/teams/8/5/8532f5e4-c2f3-417b-8c76-09302a826dd4/main-picture.png,Trackhouse MotoGP Team,8532f5e4-c2f3-417b-8c76-09302a826dd4,Raul,Fernandez,,2026.0,1.0,https://photos.motogp.com/riders/e/e/eec1f7dc-b115-44f6-82aa-73130e5c92cf/2026/profile/main-353813.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Madrid,2000-10-23,25.0,1.0,2026.0,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,47842163-0f98-4946-870b-7480565a17a9
048d5649-7c19-4c8b-9832-82da0ebf468b,4,3c7598e5-12ec-4e19-9311-1c0e9a017cbe,Diogo Moreira,BR,Brazil,,10257,11,e2479f8e-dad8-4191-9a6c-9d4aafa8c3a3,a200bec7-1cc6-4197-943b-2278279d1561,Pro Honda LCR,11,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,,0.217,0.023,,7,319.6,,,INSTND,6,01:31.723,,,,https://resources.motogp.com/files/results/2026/FRA/MotoGP/WUP/Classification.pdf,,47842163-0f98-4946-870b-7480565a17a9,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,b7b4e593f2a422cc94482386f5555cd9,Dry,15º,72%,17º,Cloudy,e8c110ad-64aa-4e8e-8a86-f2f152f6a942,,Le Mans,WUP,MotoGP™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#fafafa,#262626,https://photos.motogp.com/teams/7/7/77a0174a-c84d-4955-a722-b39e4d8e4ce5/main-picture.png,PRO Honda LCR,77a0174a-c84d-4955-a722-b39e4d8e4ce5,Diogo,Moreira,DM,2026.0,1.0,https://photos.motogp.com/riders/e/2/e2479f8e-dad8-4191-9a6c-9d4aafa8c3a3/2026/profile/main-452060.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/BR.svg,São Paulo,2004-04-23,21.0,1.0,2026.0,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,47842163-0f98-4946-870b-7480565a17a9
32149cc5-4565-41b9-9677-c3421fc3ad7c,5,6c33de41-f014-4f17-8dc9-e6f36e61026a,Fabio Di Giannantonio,IT,Italy,,8539,49,525b1551-f10b-4cfd-9b43-59af6fca654b,ee92fb0f-6420-4838-9b80-6d8b14815cd0,Pertamina Enduro VR46 Racing Team,17,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,,0.219,0.002,,7,315.5,,,INSTND,5,01:31.725,,,,https://resources.motogp.com/files/results/2026/FRA/MotoGP/WUP/Classification.pdf,,47842163-0f98-4946-870b-7480565a17a9,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,043bce59c9e29dab13f3d375ffb14ee5,Dry,15º,72%,17º,Cloudy,e8c110ad-64aa-4e8e-8a86-f2f152f6a942,,Le Mans,WUP,MotoGP™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#262626,#ffffff,https://photos.motogp.com/teams/4/1/4130a48f-fa91-48be-a50c-f8a2e3f863a0/main-picture.png,Pertamina Enduro VR46 Racing Team,4130a48f-fa91-48be-a50c-f8a2e3f863a0,Fabio,Di Giannantonio,,2026.0,1.0,https://photos.motogp.com/riders/5/2/525b1551-f10b-4cfd-9b43-59af6fca654b/2026/profile/main-954753.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/IT.svg,Rome,1998-10-10,27.0,1.0,2026.0,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,47842163-0f98-4946-870b-7480565a17a9
c405d91c-ec40-4a53-96d7-0abcbba14474,6,2614e0f6-7e02-4076-a746-50f43fe3143c,Fermin Aldeguer,ES,Spain,,9867,54,71052114-5bce-4307-908c-4cc2bd387aac,0247bf73-6f9f-409c-bdb5-6a047f0bdbd0,BK8 Gresini Racing MotoGP,18,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,b9d93efb-3cd0-4681-9de4-c412a866d568,Ducati,110,,0.222,0.003,,7,320.6,,,INSTND,6,01:31.728,,,,https://resources.motogp.com/files/results/2026/FRA/MotoGP/WUP/Classification.pdf,,47842163-0f98-4946-870b-7480565a17a9,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,bbd72deab567271404c4151a82525727,Dry,15º,72%,17º,Cloudy,e8c110ad-64aa-4e8e-8a86-f2f152f6a942,,Le Mans,WUP,MotoGP™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#9baee4,#262626,https://photos.motogp.com/teams/1/1/11729e67-d2cb-41ad-b3a8-4a0ac5768a5f/main-picture.png,BK8 Gresini Racing MotoGP,11729e67-d2cb-41ad-b3a8-4a0ac5768a5f,Fermin,Aldeguer ,,2026.0,1.0,https://photos.motogp.com/riders/7/1/71052114-5bce-4307-908c-4cc2bd387aac/2025/profile/main-821748.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,El Palmar,2005-04-05,20.0,1.0,2026.0,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,47842163-0f98-4946-870b-7480565a17a9
6d371680-d546-4946-b3d1-29219d0b865c,7,ff225c9d-64a2-43ac-a70e-62cf385a85a1,Enea Bastianini,IT,Italy,,8295,23,00db2312-15f2-4333-be5c-4bbff9d17aec,c2bb908c-023b-4d6c-8f15-8d990a3d722c,Red Bull KTM Tech3,7,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,,0.229,0.007,,6,312.6,,,INSTND,6,01:31.735,,,,https://resources.motogp.com/files/results/2026/FRA/MotoGP/WUP/Classification.pdf,,47842163-0f98-4946-870b-7480565a17a9,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,4e2bebe3fe99802bbfa6a8d1fafe1e5f,Dry,15º,72%,17º,Cloudy,e8c110ad-64aa-4e8e-8a86-f2f152f6a942,,Le Mans,WUP,MotoGP™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#262626,#ffffff,https://photos.motogp.com/teams/8/a/8a8633cd-a3e2-4a3d-aa24-66b99014a9dd/main-picture.png,Red Bull KTM Tech3,8a8633cd-a3e2-4a3d-aa24-66b99014a9dd,Enea,Bastianini,,2026.0,1.0,https://photos.motogp.com/riders/0/0/00db2312-15f2-4333-be5c-4bbff9d17aec/2026/profile/main-868954.png,https://photos.motogp.com/riders/0/0/00db2312-15f2-4333-be5c-4bbff9d17aec/bike/main/23_Enea_Bastianini_Bike_Official_LGZ3853.png,https://photos.motogp.com/riders/0/0/00db2312-15f2-4333-be5c-4bbff9d17aec/helmet/main/23_Enea_Bastianini_Helmet_Official_LGZ3906.jpg,https://photos.motogp.com/riders/a/2/a2b905bb-19ff-4092-b4dd-cfb1f2333439/number/23.png,,Official,https://photos.motogp.com/countries/flags/iso2/IT.svg,Rimini,1997-12-30,28.0,1.0,2026.0,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,47842163-0f98-4946-870b-7480565a17a9
0fa07247-ef65-4321-9c59-be536f6faed5,8,fcdd5500-a769-4ff4-8b9e-080d1849ff42,Fabio Quartararo,FR,France,,8520,20,bf95d959-6a60-44f1-84b5-ded861e62578,7892448f-80af-4dd3-b020-65e5c8b0a8c6,Monster Energy Yamaha MotoGP Team,5,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,babb4c4c-3608-4811-93ad-3b88cc407547,Yamaha,3,,0.242,0.013,,6,310.6,,,INSTND,6,01:31.748,,,,https://resources.motogp.com/files/results/2026/FRA/MotoGP/WUP/Classification.pdf,,47842163-0f98-4946-870b-7480565a17a9,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,f6b9247dfad89b1a5f43fd03a9cd63d5,Dry,15º,72%,17º,Cloudy,e8c110ad-64aa-4e8e-8a86-f2f152f6a942,,Le Mans,WUP,MotoGP™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#0a2d82,#ffffff,https://photos.motogp.com/teams/1/4/141b6f0f-7e53-4d27-9bdb-0ea8fba7e842/main-picture.png,Monster Energy Yamaha MotoGP,141b6f0f-7e53-4d27-9bdb-0ea8fba7e842,Fabio,Quartararo,,2026.0,1.0,https://photos.motogp.com/riders/b/f/bf95d959-6a60-44f1-84b5-ded861e62578/2026/profile/main-774105.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/FR.svg,Nice,1999-04-20,26.0,1.0,2026.0,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,47842163-0f98-4946-870b-7480565a17a9
93e4b03a-3c72-49ce-8f72-dbc95f063ffb,9,9a441928-d1af-452d-afce-fa028c044932,Joan Mir,ES,Spain,,8141,36,f55f9c34-8621-437b-ae04-ae2418720204,0cf175c4-3850-44c2-8163-43b92a9031d6,Honda HRC Castrol,12,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,3a036648-7b14-4257-8c62-245e47e4d42b,Honda,1,,0.310,0.068,,6,307.7,,,INSTND,6,01:31.816,,,,https://resources.motogp.com/files/results/2026/FRA/MotoGP/WUP/Classification.pdf,,47842163-0f98-4946-870b-7480565a17a9,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,29b731801891a14f6896b683b584fb66,Dry,15º,72%,17º,Cloudy,e8c110ad-64aa-4e8e-8a86-f2f152f6a942,,Le Mans,WUP,MotoGP™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#e50000,#ffffff,https://photos.motogp.com/teams/c/e/ce837bd3-bc07-40ef-83cf-6a8025bededf/main-picture.png,Honda HRC Castrol,ce837bd3-bc07-40ef-83cf-6a8025bededf,Joan,Mir,,2026.0,1.0,https://photos.motogp.com/riders/f/5/f55f9c34-8621-437b-ae04-ae2418720204/2026/profile/main-968150.png,,,,,Official,https://photos.motogp.com/countries/flags/iso2/ES.svg,Palma de Mallorca,1997-09-01,28.0,1.0,2026.0,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,47842163-0f98-4946-870b-7480565a17a9
fee793eb-b291-4112-9ac8-f56ffbe54854,10,ba579548-f026-402b-a607-38db5317d33f,Brad Binder,ZA,South Africa,,7646,33,ade5ef32-01ea-487c-95ca-491544a668ed,8d4d4643-2948-4016-bbd9-2fe6f69823ff,Red Bull KTM Factory Racing,10,e88b4e43-2209-47aa-8e83-0e0b1cedde6e,2026,1,be77c017-cc37-41eb-aa09-2977f1789b0f,KTM,298,,0.320,0.010,,7,315.5,,,INSTND,5,01:31.826,,,,https://resources.motogp.com/files/results/2026/FRA/MotoGP/WUP/Classification.pdf,,47842163-0f98-4946-870b-7480565a17a9,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,2026,f36ef96935877a43ad0bed4f1697732d,Dry,15º,72%,17º,Cloudy,e8c110ad-64aa-4e8e-8a86-f2f152f6a942,,Le Mans,WUP,MotoGP™,GRAND PRIX DE FRANCE,MICHELIN® GRAND PRIX OF FRANCE ,2026,ebb41e75-8664-4dfd-b0eb-07f24bd5fb92,8,Le Mans,FRA,FR,France,,FRA,#ff7e27,#262626,https://photos.motogp.com/teams/0/b/0b6cc118-a286-4343-9020-fb53c6f77c1a/main-picture.png,Red Bull KTM Factory Racing,0b6cc118-a286-4343-9020-fb53c6f77c1a,Brad,Binder,,2026.0,1.0,https://photos.motogp.com/riders/a/d/ade5ef32-01ea-487c-95ca-491544a668ed/2026/profile/main-441217.png,https://photos.motogp.com/riders/a/d/ade5ef32-01ea-487c-95ca-491544a668ed/bike/main/33_Brad_Binder_Bike_Official_LGZ3488.png,https://photos.motogp.com/riders/a/d/ade5ef32-01ea-487c-95ca-491544a668ed/helmet/main/33_Brad_Binder_Helmet_Official_LGZ3535.jpg,https://photos.motogp.com/riders/6/e/6e05cd51-a9e5-433d-98c7-f3868a75e389/number/33.png,,Official,https://photos.motogp.com/countries/flags/iso2/ZA.svg,Potchefstroom,1995-08-11,30.0,1.0,2026.0,2026,edcfdba3-7a1f-44f3-8fe8-1f8a6609770c,47842163-0f98-4946-870b-7480565a17a9
