md5,classification_id,constructor_name,rider_country_iso,rider_full_name,year,points,position,team_color,text_color,_year,_category_id
42eaec1dc8563732d3d9eff63536624d,7d94875c-5149-4696-82c5-360502c72ba5,KTM,ES,Maximo Quiles,2026,115,1,#009bb4,#ffffff,2026,954f7e65-2ef2-4423-b949-4961cc603e45
f28d4711a9ca267deaa570cbe40e604a,bed97f5d-9dd9-44c0-a3ec-0e9476485afc,Honda,ES,Adrian Fernandez,2026,69,2,#75cbd1,#262626,2026,954f7e65-2ef2-4423-b949-4961cc603e45
b8185ecef39acb541f99d52d5b2c54fb,d4c92bf0-e9fb-4907-8dde-1f9a728b3aab,KTM,ES,Alvaro Carpe,2026,53,3,#ff6600,#262626,2026,954f7e65-2ef2-4423-b949-4961cc603e45
93fed09ffccb7ec9c0012e35533a2fa5,887c605f-3efb-48a9-bb8b-a9b1e74cdba4,KTM,AR,Valentin Perrone,2026,52,4,#d85700,#ffffff,2026,954f7e65-2ef2-4423-b949-4961cc603e45
e59ecd6bb7ea59782449e88bce96d022,7e38bf8f-37a0-4c58-b37b-5fb9e73abace,Honda,ID,Veda Pratama,2026,50,5,#ffffff,#262626,2026,954f7e65-2ef2-4423-b949-4961cc603e45
a8de64a41529fd9c76d6cf29a9669842,a81110a1-239a-4457-a29e-dba1e4d9e4a9,KTM,AR,Marco Morelli,2026,48,6,#009bb4,#ffffff,2026,954f7e65-2ef2-4423-b949-4961cc603e45
7dae465d4e210a8a3513621436fd50d4,bb50a87c-8b19-4ef4-a25b-16ec1823f153,Honda,IT,Guido Pini,2026,46,7,#75cbd1,#262626,2026,954f7e65-2ef2-4423-b949-4961cc603e45
f6bb3d9a367ace4f66dc2f59cbe72040,aa42e36e-2526-4ad9-8a1b-2ce200c87101,KTM,ES,David Almansa,2026,41,8,#535357,#ffffff,2026,954f7e65-2ef2-4423-b949-4961cc603e45
c6ff320c1af54fe3a5d0a430c60e3d81,fc5549e0-7843-414f-acf3-e1363fcd4c70,KTM,ES,Brian Uriarte,2026,29,9,#ff6600,#262626,2026,954f7e65-2ef2-4423-b949-4961cc603e45
85f0ff0e63c04255fd754528ca65ea11,162c5bf9-b670-416b-91b8-1b04bad1ffce,KTM,ES,Joel Esteban,2026,24,10,#e04f4f,#ffffff,2026,954f7e65-2ef2-4423-b949-4961cc603e45
ed8aa5dcac79f6e1576076d2cb6f802a,8815f895-05bf-47d6-8fce-955e148e14fa,KTM,IT,Matteo Bertelle,2026,23,11,#e04f4f,#ffffff,2026,954f7e65-2ef2-4423-b949-4961cc603e45
